teamA,teamB,map,scoreTeamA,scoreTeamB
Luxe,Detonate,Vertigo,16,10
Victorum,Northern Forces,Nuke,5,16
Victorum,Northern Forces,Mirage,7,16
BIG,FaZe,Dust2,16,13
BIG,FaZe,Nuke,14,16
BIG,FaZe,Mirage,19,17
HEET,MASONIC,Overpass,11,16
HEET,MASONIC,Ancient,16,12
HEET,MASONIC,Nuke,22,20
forZe,ECLOT,Inferno,14,16
forZe,ECLOT,Dust2,16,9
forZe,ECLOT,Mirage,16,6
EC Kyiv,BLUEJAYS,Mirage,12,16
EC Kyiv,BLUEJAYS,Inferno,8,16
Apeks,SKADE,Mirage,16,14
Apeks,SKADE,Overpass,16,12
Bad News Eagles,Finest,Vertigo,13,16
Bad News Eagles,Finest,Mirage,16,11
Bad News Eagles,Finest,Inferno,16,5
OneTap,KTRL,Nuke,16,2
OneTap,KTRL,Vertigo,16,12
fnatic,ex-MAD Lions,Mirage,16,19
fnatic,ex-MAD Lions,Nuke,16,10
fnatic,ex-MAD Lions,Ancient,8,16
FaZe,Astralis,Overpass,13,16
FaZe,Astralis,Mirage,16,11
FaZe,Astralis,Dust2,16,7
Nexus,KTRL,Inferno,14,16
Nexus,KTRL,Ancient,16,13
Nexus,KTRL,Nuke,16,19
Nemiga,SKADE,Inferno,6,16
Nemiga,SKADE,Overpass,13,16
Finest,Enterprise,Inferno,16,11
Finest,Enterprise,Dust2,16,13
Bad News Eagles,ECSTATIC,Vertigo,16,10
Bad News Eagles,ECSTATIC,Dust2,16,13
BIG,Cloud9,Dust2,16,9
BIG,Cloud9,Inferno,16,12
UNGENTIUM,EC Kyiv,Vertigo,17,19
UNGENTIUM,EC Kyiv,Dust2,6,16
OneTap,KTRL,Vertigo,16,12
OneTap,KTRL,Inferno,14,16
OneTap,KTRL,Mirage,16,14
Apeks,ex-MAD Lions,Mirage,16,7
Apeks,ex-MAD Lions,Dust2,12,16
Apeks,ex-MAD Lions,Nuke,9,16
PACT,EC Kyiv,Ancient,14,16
PACT,EC Kyiv,Dust2,8,16
MASONIC,UNGENTIUM,Vertigo,19,16
MASONIC,UNGENTIUM,Dust2,3,16
MASONIC,UNGENTIUM,Ancient,16,8
Philadelphia Liberty,Northern Forces,Inferno,4,16
Philadelphia Liberty,Northern Forces,Nuke,10,16
Detonate,Snakes Den,Mirage,16,9
Detonate,Snakes Den,Dust2,16,7
allStars,Nexus,Default,0,1
allStars,Nexus,Nuke,12,16
Into the Breach,UNGENTIUM,Vertigo,14,16
Into the Breach,UNGENTIUM,Mirage,14,16
SKADE,MASONIC,Nuke,13,16
SKADE,MASONIC,Inferno,16,11
SKADE,MASONIC,Dust2,22,25
