,teamA,teamB,map,scoreTeamA,scoreTeamB
602,FURIA,9z,Overpass,20,22
603,FURIA,9z,Inferno,10,16
604,VP.Prodigy,forZe,Ancient,16,10
605,VP.Prodigy,forZe,Dust2,9,16
606,VP.Prodigy,forZe,Nuke,3,16
607,HEET,Entropiq,Overpass,12,16
608,HEET,Entropiq,Vertigo,7,16
609,Imperial,MOUZ,Nuke,11,16
610,Imperial,MOUZ,Inferno,7,16
611,SAW,1WIN,Dust2,5,16
612,SAW,1WIN,Nuke,9,16
613,B8,Entropiq Prague,Inferno,16,11
614,B8,Entropiq Prague,Nuke,16,9
615,Anonymo,AVANGAR,Mirage,14,16
616,Anonymo,AVANGAR,Dust2,26,28
617,SINNERS,fnatic,Mirage,3,16
618,SINNERS,fnatic,Vertigo,16,11
619,SINNERS,fnatic,Overpass,11,16
620,ENCE,Eternal Fire,Dust2,19,17
621,ENCE,Eternal Fire,Nuke,10,16
622,ENCE,Eternal Fire,Vertigo,16,11
623,Outsiders,forZe,Dust2,16,6
624,Outsiders,forZe,Inferno,13,16
625,Outsiders,forZe,Ancient,12,16
626,EC Brugge,BLUEJAYS,Vertigo,10,16
627,EC Brugge,BLUEJAYS,Mirage,12,16
628,FTW,BIG Academy,Nuke,16,14
629,FTW,BIG Academy,Dust2,3,16
630,FTW,BIG Academy,Vertigo,5,16
631,Wolsung,MASONIC,Dust2,19,17
632,Wolsung,MASONIC,Nuke,5,16
633,Wolsung,MASONIC,Ancient,4,16
634,NEXGA,NKT,Nuke,12,16
635,NEXGA,NKT,Inferno,11,16
636,ARAVT,OS,Ancient,16,13
637,ARAVT,OS,Inferno,16,10
638,IHC,CatEvil,Inferno,16,12
639,IHC,CatEvil,Dust2,16,9
640,Born in Mongolia,Rare Atom,Vertigo,8,16
641,Born in Mongolia,Rare Atom,Nuke,4,16
642,777,BLUEJAYS,Overpass,9,16
643,777,BLUEJAYS,Mirage,17,19
644,Astralis,Movistar Riders,Mirage,16,14
645,Astralis,Movistar Riders,Overpass,16,8
646,Luxe,Northern Forces,Nuke,16,14
647,Luxe,Northern Forces,Mirage,12,16
648,Luxe,Northern Forces,Overpass,16,14
649,Gaimin Gladiators,Strife,Nuke,16,13
650,Gaimin Gladiators,Strife,Mirage,16,19
651,Gaimin Gladiators,Strife,Inferno,16,13
652,Brazen,EG.CD,Mirage,16,10
653,Brazen,EG.CD,Overpass,7,16
654,Brazen,EG.CD,Dust2,4,16
655,Vexo Purple,Victorum,Nuke,6,16
656,Vexo Purple,Victorum,Inferno,9,16
657,paiN,Mythic,Vertigo,16,8
658,paiN,Mythic,Dust2,16,4
659,ATK,BHOP,Vertigo,16,7
660,ATK,BHOP,Dust2,16,6
661,ARCTIC,Redragon,Dust2,16,11
662,Rehl,Boca Juniors,Mirage,16,3
663,Stars Horizon,B4,Overpass,16,8
664,Los Grandes,SWS,Dust2,14,16
665,Meta BR,MIBR Academy,Mirage,12,16
666,The Union,Stone,Dust2,16,13
667,UNO MILLE,Players,Overpass,16,13
668,Daotsu,Isurus,Dust2,16,10
669,ECLOT,Budapest Five,Inferno,16,5
670,ECLOT,Budapest Five,Mirage,16,1
671,Entropiq,1WIN,Dust2,16,4
672,Entropiq,1WIN,Ancient,8,16
673,Entropiq,1WIN,Vertigo,5,16
674,HEET,SAW,Ancient,14,16
675,HEET,SAW,Nuke,17,19
676,Cloud9,Complexity,Inferno,19,16
677,Cloud9,Complexity,Dust2,16,7
678,forZe,Imperial,Dust2,22,18
679,forZe,Imperial,Mirage,16,7
680,FaZe,OG,Dust2,16,8
681,FaZe,OG,Overpass,16,14
682,Movistar Riders,Sprout,Vertigo,16,10
683,Movistar Riders,Sprout,Nuke,16,9
684,Falcons,SINNERS,Mirage,16,13
685,Falcons,SINNERS,Dust2,16,2
686,ALTERNATE aTTaX,ONYX,Overpass,14,16
687,ALTERNATE aTTaX,ONYX,Mirage,7,16
688,Into the Breach,Finest,Vertigo,8,16
689,Into the Breach,Finest,Overpass,5,16
690,BIG,Entropiq,Overpass,11,16
691,BIG,Entropiq,Dust2,16,10
692,BIG,Entropiq,Mirage,16,13
693,ARAVT,IHC,Dust2,10,16
694,ARAVT,IHC,Ancient,11,16
695,Iron Branch,EC Brugge,Vertigo,16,14
696,Iron Branch,EC Brugge,Dust2,16,10
697,EC Brugge,BLUEJAYS,Vertigo,16,3
698,EC Brugge,BLUEJAYS,Inferno,16,9
699,777,Iron Branch,Mirage,14,16
700,777,Iron Branch,Overpass,16,5
701,777,Iron Branch,Dust2,10,16
702,TheMongolz,IHC,Inferno,10,16
703,TheMongolz,IHC,Mirage,3,16
704,Philadelphia Liberty,Davenport University,Dust2,16,13
705,Philadelphia Liberty,Davenport University,Vertigo,9,16
706,Philadelphia Liberty,Davenport University,Inferno,16,19
707,ONET4P,Snakes Den,Dust2,3,16
708,ONET4P,Snakes Den,Vertigo,16,2
709,ONET4P,Snakes Den,Inferno,16,9
710,Coalesce,ROYALS,Inferno,13,16
711,Coalesce,ROYALS,Overpass,16,5
712,Coalesce,ROYALS,Dust2,14,16
713,Finest,SINNERS,Mirage,7,16
714,Finest,SINNERS,Ancient,19,22
715,GTZ Bulls,OFFSET,Mirage,13,16
716,GTZ Bulls,OFFSET,Vertigo,16,9
717,GTZ Bulls,OFFSET,Dust2,22,19
718,EC Kyiv,SKADE,Dust2,17,19
719,EC Kyiv,SKADE,Mirage,16,5
720,EC Kyiv,SKADE,Inferno,16,11
721,Tricked,LDLC,Overpass,16,13
722,Tricked,LDLC,Vertigo,16,10
723,BLUEJAYS,Apeks,Mirage,16,6
724,BLUEJAYS,Apeks,Overpass,14,16
725,BLUEJAYS,Apeks,Dust2,16,7
726,fnatic,Into the Breach,Nuke,16,6
727,fnatic,Into the Breach,Mirage,16,7
728,Entropiq Prague,ECLOT,Overpass,16,14
729,Entropiq Prague,ECLOT,Inferno,3,16
730,Entropiq Prague,ECLOT,Mirage,16,13
731,Imperial,Enterprise,Mirage,9,16
732,Imperial,Enterprise,Inferno,16,7
733,Imperial,Enterprise,Overpass,20,22
734,MASONIC,BLINK,Inferno,16,14
735,MASONIC,BLINK,Overpass,16,3
736,eSuba,Dark Tigers,Dust2,16,9
737,eSuba,Dark Tigers,Nuke,19,17
738,Illuminar,FTW,Nuke,9,16
739,Illuminar,FTW,Overpass,16,5
740,Illuminar,FTW,Vertigo,12,16
741,1PIN,EYEBALLERS,Ancient,16,6
742,1PIN,EYEBALLERS,Inferno,12,16
743,1PIN,EYEBALLERS,Mirage,16,2
744,Anonymo,Into the Breach,Overpass,10,16
745,Anonymo,Into the Breach,Ancient,16,11
746,Anonymo,Into the Breach,Nuke,12,16
747,Impression,Entropiq Prague,Mirage,11,16
748,Impression,Entropiq Prague,Nuke,14,16
749,B8,Nemiga,Nuke,16,13
750,B8,Nemiga,Inferno,8,16
751,B8,Nemiga,Dust2,14,16
752,FLET,VP.Prodigy,Vertigo,16,13
753,FLET,VP.Prodigy,Nuke,8,16
754,FLET,VP.Prodigy,Ancient,7,16
755,NLG,AVANGAR,Default,0,1
756,Iron Branch,Nexus,Vertigo,16,14
757,Iron Branch,Nexus,Dust2,16,9
758,forZe,MOUZ NXT,Dust2,19,15
759,forZe,MOUZ NXT,Mirage,21,25
760,forZe,MOUZ NXT,Nuke,17,19
761,PACT,Narcis,Inferno,9,16
762,PACT,Narcis,Vertigo,16,5
763,PACT,Narcis,Ancient,16,5
764,ECLOT,UNGENTIUM,Vertigo,16,9
765,ECLOT,UNGENTIUM,Mirage,16,7
766,Falcons,HEET,Dust2,16,13
767,Falcons,HEET,Nuke,10,16
768,Falcons,HEET,Vertigo,4,16
769,Axolotls,Davenport University,Overpass,16,8
770,Axolotls,Davenport University,Vertigo,2,16
771,Axolotls,Davenport University,Dust2,16,3
772,Vexo Purple,Bad News Bears,Inferno,14,16
773,Vexo Purple,Bad News Bears,Nuke,14,16
774,Davenport University,Bad News Bears,Overpass,22,20
775,Davenport University,Bad News Bears,Nuke,19,17
776,Black Dragons fe,Quem Sao Elas,Mirage,14,16
777,Black Dragons fe,Quem Sao Elas,Nuke,16,9
778,Black Dragons fe,Quem Sao Elas,Inferno,16,3
779,Vexo Purple,Axolotls,Dust2,5,16
780,Vexo Purple,Axolotls,Ancient,15,19
781,CloudRunners,PIVNOE PUZO,Vertigo,16,3
782,CloudRunners,PIVNOE PUZO,Inferno,16,6
783,Axolotls,Tempest,Inferno,16,14
784,Axolotls,Tempest,Vertigo,16,6
785,BLINK,BLUEJAYS,Inferno,7,16
786,BLINK,BLUEJAYS,Dust2,7,16
787,Bad News Bears,Red Wolves,Dust2,14,16
788,Bad News Bears,Red Wolves,Nuke,16,5
789,Bad News Bears,Red Wolves,Mirage,16,3
790,Grillska Orebro,LBS Helsingborg,Overpass,11,16
791,Grillska Orebro,LBS Helsingborg,Vertigo,10,16
792,FTW,ORDER,Nuke,16,12
793,FTW,ORDER,Dust2,16,1
794,Davenport University,Northern Forces,Overpass,16,12
795,Davenport University,Northern Forces,Inferno,16,14
796,Natus Vincere,Vitality,Mirage,16,8
797,Natus Vincere,Vitality,Overpass,16,5
798,Vexo Purple,Cyberstorm,Nuke,16,9
799,Vexo Purple,Cyberstorm,Inferno,16,8
800,0to100,Zero Tenacity,Nuke,16,13
801,forZe,Wolsung,Inferno,16,12
802,forZe,Wolsung,Nuke,16,12
803,HEET,HUMMER,Inferno,22,19
804,HEET,HUMMER,Dust2,16,11
805,Portugal,BLAST Dream Team,Tuscan,15,15
806,Frida Gymnasiet,LBS Helsingborg,Ancient,6,16
807,Frida Gymnasiet,LBS Helsingborg,Vertigo,8,16
808,cowana,Falcons,Inferno,6,16
809,cowana,Falcons,Dust2,10,16
810,ECLOT,Enterprise,Overpass,16,14
811,ECLOT,Enterprise,Inferno,14,16
812,ECLOT,Enterprise,Ancient,12,16
813,G2,Vitality,Dust2,13,16
814,G2,Vitality,Inferno,16,8
815,G2,Vitality,Nuke,13,16
816,BLUEJAYS,Zero Tenacity,Inferno,16,10
817,BLUEJAYS,Zero Tenacity,Mirage,16,4
818,Illuminar,TYLOO,Mirage,16,2
819,Illuminar,TYLOO,Overpass,16,3
820,SINNERS,Entropiq Prague,Mirage,13,16
821,SINNERS,Entropiq Prague,Overpass,16,10
822,SINNERS,Entropiq Prague,Vertigo,16,2
823,OG,Natus Vincere,Dust2,9,16
824,OG,Natus Vincere,Inferno,16,14
825,OG,Natus Vincere,Mirage,10,16
826,BLINK,0to100,Dust2,16,8
827,BLINK,0to100,Inferno,16,10
828,Grillska Orebro,GO HogRiders,Inferno,16,11
829,Grillska Orebro,GO HogRiders,Vertigo,16,7
830,Outsiders,Falcons,Vertigo,16,6
831,Outsiders,Falcons,Inferno,16,10
832,Eternal Fire,HUMMER,Dust2,16,7
833,Eternal Fire,HUMMER,Overpass,19,16
834,FURIA fe,Black Dragons fe,Dust2,19,16
835,FURIA fe,Black Dragons fe,Nuke,16,5
836,MIBR,TYLOO,Mirage,16,12
837,MIBR,TYLOO,Dust2,22,20
838,MASONIC,BLUEJAYS,Dust2,9,16
839,MASONIC,BLUEJAYS,Overpass,14,16
840,ORDER,Endpoint,Dust2,14,16
841,ORDER,Endpoint,Mirage,5,16
842,Vitality,ENCE,Overpass,16,10
843,Vitality,ENCE,Nuke,19,17
844,VP.Prodigy,EYEBALLERS,Vertigo,19,17
845,VP.Prodigy,EYEBALLERS,Inferno,19,17
846,FTW,Sprout,Inferno,1,16
847,FTW,Sprout,Ancient,16,5
848,FTW,Sprout,Vertigo,22,20
849,UNGENTIUM,AVANGAR,Vertigo,16,13
850,UNGENTIUM,AVANGAR,Mirage,8,16
851,UNGENTIUM,AVANGAR,Nuke,16,11
852,FaZe,Natus Vincere,Dust2,6,16
853,FaZe,Natus Vincere,Inferno,1,16
854,Illuminar,VERTEX,Mirage,16,11
855,Illuminar,VERTEX,Nuke,16,7
856,Nexus,BIG Academy,Vertigo,16,19
857,Nexus,BIG Academy,Dust2,9,16
858,cowana,Strife,Overpass,16,9
859,cowana,Strife,Inferno,16,10
860,Encore,HEET,Nuke,11,16
861,Encore,HEET,Ancient,10,16
862,Enterprise,Cryptova,Overpass,16,7
863,Enterprise,Cryptova,Mirage,13,16
864,Enterprise,Cryptova,Inferno,16,12
865,EC Kyiv,Impression,Vertigo,10,16
866,EC Kyiv,Impression,Overpass,16,10
867,EC Kyiv,Impression,Inferno,16,9
868,Entropiq Prague,SKADE,Mirage,10,16
869,Entropiq Prague,SKADE,Inferno,17,19
870,FLET,1PIN,Vertigo,16,14
871,FLET,1PIN,Ancient,4,16
872,FLET,1PIN,Dust2,16,6
873,forZe,Tricked,Nuke,16,9
874,forZe,Tricked,Mirage,16,14
875,OFFSET,Into the Breach,Nuke,13,16
876,OFFSET,Into the Breach,Overpass,7,16
877,OG,ENCE,Dust2,16,13
878,OG,ENCE,Vertigo,16,9
879,VERTEX,Falcons,Nuke,5,16
880,VERTEX,Falcons,Inferno,7,16
881,Outsiders,Illuminar,Mirage,16,7
882,Outsiders,Illuminar,Dust2,16,8
883,ROYALS,Nemiga,Overpass,16,19
884,ROYALS,Nemiga,Inferno,8,16
885,B8,Coalesce,Inferno,13,16
886,B8,Coalesce,Vertigo,16,3
887,B8,Coalesce,Dust2,16,14
888,eSuba,Entropiq Prague,Inferno,12,16
889,eSuba,Entropiq Prague,Nuke,16,14
890,eSuba,Entropiq Prague,Vertigo,13,16
891,Natus Vincere,BIG,Mirage,16,10
892,Natus Vincere,BIG,Dust2,16,8
893,Anonymo,GTZ Bulls,Ancient,16,8
894,Anonymo,GTZ Bulls,Overpass,16,6
895,Sprout,HUMMER,Dust2,7,16
896,Sprout,HUMMER,Nuke,16,14
897,Sprout,HUMMER,Ancient,14,16
898,ex-MAD Lions,BLUEJAYS,Inferno,16,3
899,ex-MAD Lions,BLUEJAYS,Ancient,16,4
900,Wolsung,LDLC,Dust2,16,7
901,Wolsung,LDLC,Nuke,16,14
902,Endpoint,HEET,Overpass,16,12
903,Endpoint,HEET,Dust2,16,14
904,Eternal Fire,FTW,Vertigo,16,7
905,Eternal Fire,FTW,Overpass,16,9
906,Apeks,BLINK,Overpass,16,5
907,Apeks,BLINK,Inferno,16,1
908,SINNERS,EC Kyiv,Inferno,16,14
909,SINNERS,EC Kyiv,Overpass,16,12
910,FaZe,G2,Inferno,16,7
911,FaZe,G2,Ancient,13,16
912,FaZe,G2,Dust2,5,16
913,MIBR,cowana,Ancient,16,11
914,MIBR,cowana,Overpass,16,9
915,TYLOO,Strife,Overpass,16,12
916,TYLOO,Strife,Mirage,16,10
917,Encore,ORDER,Ancient,3,16
918,Encore,ORDER,Inferno,8,16
919,MASONIC,Tricked,Vertigo,16,13
920,MASONIC,Tricked,Ancient,16,11
921,paiN,Vitality,Nuke,3,16
922,paiN,Vitality,Dust2,16,12
923,paiN,Vitality,Overpass,4,16
924,ENCE,BIG,Mirage,19,16
925,ENCE,BIG,Nuke,16,13
926,FTW,Iron Branch,Dust2,9,16
927,FTW,Iron Branch,Vertigo,16,10
928,FTW,Iron Branch,Nuke,16,10
929,Natus Vincere,OG,Inferno,16,7
930,Natus Vincere,OG,Mirage,12,16
931,Natus Vincere,OG,Ancient,13,16
932,Finest,Tricked,Overpass,16,11
933,Finest,Tricked,Mirage,16,13
934,ECLOT,NLG,Default,1,0
935,Enterprise,ex-MAD Lions,Mirage,16,11
936,Enterprise,ex-MAD Lions,Ancient,16,14
937,G2,Vitality,Dust2,10,16
938,G2,Vitality,Inferno,16,8
939,G2,Vitality,Mirage,16,9
940,FaZe,paiN,Ancient,16,7
941,FaZe,paiN,Inferno,16,6
942,Apeks,BLUEJAYS,Dust2,16,9
943,Apeks,BLUEJAYS,Inferno,16,14
944,SINNERS,KOVA,Overpass,16,11
945,SINNERS,KOVA,Ancient,16,6
946,EC Kyiv,AGO,Ancient,10,16
947,EC Kyiv,AGO,Dust2,16,10
948,EC Kyiv,AGO,Vertigo,16,12
949,MASONIC,777,Overpass,16,5
950,MASONIC,777,Nuke,16,14
951,ATK,Doing Fun,Inferno,16,5
952,ATK,Doing Fun,Vertigo,19,16
953,INDE IRAE,Iron Branch,Inferno,14,16
954,INDE IRAE,Iron Branch,Vertigo,4,16
955,Doing Fun,BHOP,Overpass,16,12
956,Doing Fun,BHOP,Inferno,16,8
957,Brazen,ATK,Inferno,2,16
958,Brazen,ATK,Overpass,6,16
959,iNation,BLUEJAYS,Mirage,13,16
960,iNation,BLUEJAYS,Inferno,16,13
961,iNation,BLUEJAYS,Dust2,2,16
962,iNation,BLUEJAYS,Ancient,16,14
963,iNation,BLUEJAYS,Vertigo,11,16
964,CLG Red,Little Socks,Overpass,16,4
965,CLG Red,Little Socks,Mirage,16,4
966,ECSTATIC,Bad News Eagles,Dust2,15,19
967,ECSTATIC,Bad News Eagles,Vertigo,16,12
968,ECSTATIC,Bad News Eagles,Nuke,16,8
969,NAVI Javelins,NSC,Inferno,16,14
970,NAVI Javelins,NSC,Nuke,16,8
971,Nemiga,Iron Branch,Dust2,14,16
972,Nemiga,Iron Branch,Inferno,16,6
973,Nemiga,Iron Branch,Mirage,33,37
974,LGG Eclipse,Counter Nature,Dust2,14,16
975,LGG Eclipse,Counter Nature,Inferno,5,16
976,Smile,Cookie Clowns,Ancient,5,16
977,Smile,Cookie Clowns,Inferno,7,16
978,Astralis Talent,FURIA Academy,Overpass,12,16
979,Astralis Talent,FURIA Academy,Vertigo,6,16
980,los kogutos,M1,Ancient,16,7
981,los kogutos,M1,Dust2,16,11
982,Sampi,ECLOT,Dust2,14,16
983,Sampi,ECLOT,Inferno,5,16
984,Lemondogs,Vikings,Dust2,16,6
985,Lemondogs,Vikings,Ancient,17,19
986,Lemondogs,Vikings,Mirage,11,16
987,Lilmix,Cocolovers,Mirage,13,16
988,Lilmix,Cocolovers,Ancient,16,4
989,Lilmix,Cocolovers,Inferno,16,11
990,ex-MAD Lions,Eternal Fire,Mirage,16,5
991,ex-MAD Lions,Eternal Fire,Nuke,11,16
992,ex-MAD Lions,Eternal Fire,Inferno,16,12
993,Cookie Clowns,Counter Nature,Nuke,13,16
994,Cookie Clowns,Counter Nature,Inferno,13,16
995,fnatic Rising,Young Ninjas,Inferno,10,16
996,fnatic Rising,Young Ninjas,Vertigo,16,6
997,fnatic Rising,Young Ninjas,Overpass,16,12
998,UNGENTIUM,INDE IRAE,Overpass,9,16
999,UNGENTIUM,INDE IRAE,Vertigo,11,16
1000,LGG Eclipse,Smile,Vertigo,16,13
1001,LGG Eclipse,Smile,Overpass,16,7
1002,SINNERS,eSuba,Nuke,16,12
1003,SINNERS,eSuba,Vertigo,16,8
1004,WinX,BLUEJAYS,Mirage,7,16
1005,WinX,BLUEJAYS,Overpass,10,16
1006,ECLOT,eSuba,Mirage,16,7
1007,ECLOT,eSuba,Inferno,16,8
1008,Astralis,Heroic,Ancient,9,16
1009,Astralis,Heroic,Overpass,11,16
1010,4glory,BLUEJAYS,Ancient,8,16
1011,4glory,BLUEJAYS,Mirage,9,16
1012,MOUZ,NIP,Nuke,16,11
1013,MOUZ,NIP,Inferno,11,16
1014,MOUZ,NIP,Mirage,8,16
1015,Eternal Fire,Entropiq,Mirage,19,17
1016,Eternal Fire,Entropiq,Nuke,16,14
1017,Young Ninjas,EYEBALLERS,Inferno,14,16
1018,Young Ninjas,EYEBALLERS,Ancient,8,16
1019,PROSPECTS,FURIA Academy,Overpass,17,19
1020,PROSPECTS,FURIA Academy,Vertigo,16,14
1021,PROSPECTS,FURIA Academy,Nuke,17,19
1022,SINNERS,Sampi,Overpass,19,16
1023,SINNERS,Sampi,Ancient,19,22
1024,SINNERS,Sampi,Inferno,17,19
1025,iNation,WinX,Mirage,11,16
1026,iNation,WinX,Ancient,16,11
1027,iNation,WinX,Inferno,22,20
1028,Kappa Bar,LakeShow,Mirage,13,16
1029,Kappa Bar,LakeShow,Inferno,16,13
1030,Kappa Bar,LakeShow,Nuke,16,13
1031,K23,ex-MAD Lions,Mirage,13,16
1032,K23,ex-MAD Lions,Ancient,9,16
1033,Heroic,BIG,Mirage,19,15
1034,Heroic,BIG,Overpass,16,10
1035,Young Ninjas,OG Academy,Dust2,16,14
1036,Young Ninjas,OG Academy,Inferno,16,5
1037,Sharks,UNO MILLE,Ancient,16,11
1038,Sharks,UNO MILLE,Dust2,16,9
1039,EYEBALLERS,LakeShow,Mirage,16,10
1040,EYEBALLERS,LakeShow,Inferno,16,7
1041,ARCTIC,Stars Horizon,Ancient,16,6
1042,BLUEJAYS,BLINK,Mirage,14,16
1043,BLUEJAYS,BLINK,Dust2,16,8
1044,BLUEJAYS,BLINK,Vertigo,16,12
1045,BIG,Astralis,Ancient,7,16
1046,BIG,Astralis,Dust2,13,16
1047,Bad News Eagles,ex-MAD Lions,Ancient,16,7
1048,Bad News Eagles,ex-MAD Lions,Mirage,16,11
1049,Kappa Bar,Young Ninjas,Inferno,15,19
1050,Kappa Bar,Young Ninjas,Overpass,16,19
1051,OG,NIP,Overpass,11,16
1052,OG,NIP,Mirage,5,16
1053,FURIA Academy,Young Gods,Dust2,16,11
1054,FURIA Academy,Young Gods,Overpass,16,6
1055,0to100,4glory,Inferno,10,16
1056,0to100,4glory,Dust2,7,16
1057,Entropiq,ECSTATIC,Vertigo,8,16
1058,Entropiq,ECSTATIC,Dust2,16,5
1059,Entropiq,ECSTATIC,Ancient,20,22
1060,Heroic,Finest,Overpass,16,8
1061,Heroic,Finest,Vertigo,7,16
1062,Heroic,Finest,Inferno,16,4
1063,OG Academy,NAVI Junior,Vertigo,16,10
1064,OG Academy,NAVI Junior,Inferno,16,9
1065,Movistar Riders,MOUZ,Vertigo,14,16
1066,Movistar Riders,MOUZ,Ancient,12,16
1067,Stars Horizon,UNO MILLE,Overpass,11,16
1068,Stars Horizon,UNO MILLE,Nuke,13,16
1069,ARCTIC,Sharks,Dust2,22,19
1070,ARCTIC,Sharks,Nuke,5,16
1071,ARCTIC,Sharks,Vertigo,9,16
1072,NIP,NASR,Mirage,14,16
1073,NIP,NASR,Overpass,16,9
1074,NIP,NASR,Nuke,16,5
1075,Young Gods,Apeks Rebels,Mirage,16,7
1076,Young Gods,Apeks Rebels,Overpass,10,16
1077,Young Gods,Apeks Rebels,Vertigo,16,7
1078,EC Kyiv,Tricked,Overpass,17,19
1079,EC Kyiv,Tricked,Inferno,19,16
1080,EC Kyiv,Tricked,Vertigo,13,16
1081,Finest,Imperial,Overpass,16,9
1082,Finest,Imperial,Vertigo,16,9
1083,K23,1WIN,Dust2,16,11
1084,K23,1WIN,Ancient,16,12
1085,NAVI Junior,Spirit Academy,Dust2,16,6
1086,NAVI Junior,Spirit Academy,Inferno,16,19
1087,NAVI Junior,Spirit Academy,Vertigo,16,11
1088,MOUZ,Falcons,Nuke,16,8
1089,MOUZ,Falcons,Mirage,16,9
1090,Heroic,fnatic,Mirage,16,14
1091,Heroic,fnatic,Overpass,16,13
1092,Sprout,Eternal Fire,Inferno,14,16
1093,Sprout,Eternal Fire,Nuke,12,16
1094,ex-MAD Lions,ECSTATIC,Nuke,16,12
1095,ex-MAD Lions,ECSTATIC,Overpass,7,16
1096,ex-MAD Lions,ECSTATIC,Inferno,10,16
1097,Movistar Riders,TYLOO,Overpass,13,16
1098,Movistar Riders,TYLOO,Ancient,16,13
1099,Movistar Riders,TYLOO,Mirage,16,13
1100,Astralis,Imperial,Nuke,16,14
1101,Astralis,Imperial,Mirage,6,16
1102,Astralis,Imperial,Overpass,16,13
1103,fnatic,BIG,Nuke,16,7
1104,fnatic,BIG,Overpass,11,16
1105,fnatic,BIG,Vertigo,10,16
1106,BIG Academy,777,Ancient,9,16
1107,BIG Academy,777,Dust2,11,16
1108,Complexity,OG,Overpass,16,11
1109,Complexity,OG,Vertigo,8,16
1110,Complexity,OG,Inferno,11,16
1111,EG.CD,Axolotls,Mirage,16,9
1112,EG.CD,Axolotls,Overpass,16,10
1113,BHOP,Bad News Bears,Inferno,16,12
1114,BHOP,Bad News Bears,Overpass,5,16
1115,BHOP,Bad News Bears,Dust2,16,7
1116,Gaimin Gladiators,TeamOne,Nuke,13,16
1117,Gaimin Gladiators,TeamOne,Inferno,16,10
1118,Gaimin Gladiators,TeamOne,Overpass,16,1
1119,Party Astronauts,Bad News Bears,Default,0,1
1120,GODSENT,Brazen,Nuke,16,1
1121,GODSENT,Brazen,Ancient,16,8
1122,UNO MILLE,River Plate,Mirage,16,14
1123,UNO MILLE,River Plate,Nuke,16,12
1124,WINDINGO,Sharks,Mirage,8,16
1125,WINDINGO,Sharks,Nuke,1,16
1126,ONET4P,Davenport University,Inferno,16,10
1127,ONET4P,Davenport University,Vertigo,16,5
1128,Entropiq,K23,Ancient,13,16
1129,Entropiq,K23,Nuke,16,14
1130,Entropiq,K23,Mirage,19,16
1131,Davenport University,the jungle,Nuke,16,9
1132,Davenport University,the jungle,Inferno,16,10
1133,EG.PA,Finest,Dust2,9,16
1134,EG.PA,Finest,Inferno,8,16
1135,Heroic,MIBR,Inferno,16,11
1136,Heroic,MIBR,Mirage,16,3
1137,Bad News Eagles,Sprout,Vertigo,16,12
1138,Bad News Eagles,Sprout,Dust2,16,12
1139,MASONIC,BLUEJAYS,Dust2,12,16
1140,MASONIC,BLUEJAYS,Overpass,14,16
1141,Valors,ONET4P,Vertigo,3,16
1142,Valors,ONET4P,Inferno,16,19
1143,Imperial,Finest,Dust2,16,12
1144,Astralis,EG.PA,Overpass,16,6
1145,BIG,MIBR,Nuke,16,7
1146,Heroic,fnatic,Inferno,14,16
1147,GODSENT,TeamOne,Mirage,17,19
1148,GODSENT,TeamOne,Overpass,16,9
1149,GODSENT,TeamOne,Inferno,16,5
1150,Bad News Bears,Axolotls,Mirage,19,17
1151,Bad News Bears,Axolotls,Overpass,16,13
1152,Furious,River Plate,Mirage,10,16
1153,UNO MILLE,ARCTIC,Inferno,10,16
1154,ARCTIC,River Plate,Ancient,16,4
1155,UNO MILLE,Furious,Nuke,16,6
1156,Davenport University,ONET4P,Inferno,14,16
1157,Eternal Fire,ex-MAD Lions,Dust2,22,25
1158,Eternal Fire,ex-MAD Lions,Mirage,9,16
1159,X,SC,Inferno,16,5
1160,X,SC,Vertigo,6,16
1161,X,SC,Mirage,16,6
1162,ONET4P,Valors,Inferno,6,16
1163,the jungle,ONET4P,Nuke,16,6
1164,Finest,Sprout,Nuke,14,16
1165,Finest,Sprout,Dust2,13,16
1166,Young Ninjas,FURIA Academy,Inferno,16,7
1167,ECSTATIC,1WIN,Dust2,12,16
1168,ECSTATIC,1WIN,Vertigo,22,20
1169,ECSTATIC,1WIN,Ancient,16,13
1170,Enterprise,BLUEJAYS,Mirage,12,16
1171,Enterprise,BLUEJAYS,Ancient,13,16
1172,Davenport University,the jungle,Inferno,16,8
1173,Valors,Davenport University,Inferno,16,13
1174,SINNERS,Enterprise,Mirage,12,16
1175,SINNERS,Enterprise,Overpass,9,16
1176,the jungle,Valors,Nuke,12,16
1177,Into the Breach,AGO,Ancient,11,16
1178,Into the Breach,AGO,Nuke,9,16
1179,Bad News Bears,Mythic,Mirage,16,7
1180,Bad News Bears,Mythic,Overpass,13,16
1181,Bad News Bears,Mythic,Inferno,14,16
1182,Gaimin Gladiators,Brazen,Nuke,7,16
1183,Gaimin Gladiators,Brazen,Ancient,16,4
1184,Gaimin Gladiators,Brazen,Mirage,13,16
1185,Boca Juniors,Sharks,Mirage,14,16
1186,Stars Horizon,WINDINGO,Nuke,16,7
1187,WINDINGO,Sharks,Nuke,16,13
1188,Boca Juniors,Stars Horizon,Nuke,16,19
1189,MOUZ NXT,Young Gods,Mirage,16,9
1190,SC,BLUEJAYS,Inferno,16,9
1191,SC,BLUEJAYS,Mirage,14,16
1192,SC,BLUEJAYS,Dust2,16,14
