,teamA,teamB,map,scoreTeamA,scoreTeamB
142,B8,BLUEJAYS,Vertigo,16,12
143,B8,BLUEJAYS,Inferno,19,17
144,Outsiders,Rare Atom,Inferno,16,12
145,Outsiders,Rare Atom,Vertigo,16,14
146,Nigma Galaxy,MIBR fe,Dust2,16,10
147,Nigma Galaxy,MIBR fe,Vertigo,16,5
148,Redragon,Meta BR,Inferno,10,16
149,Redragon,Meta BR,Dust2,19,17
150,Redragon,Meta BR,Nuke,8,16
151,HEET,Bad News Eagles,Nuke,16,10
152,HEET,Bad News Eagles,Inferno,16,10
153,ODDIK,Rehl,Dust2,16,8
154,ODDIK,Rehl,Ancient,16,12
155,CLG Red,MIBR fe,Vertigo,12,16
156,CLG Red,MIBR fe,Inferno,9,16
157,Sprout,00NATION,Dust2,16,8
158,Sprout,00NATION,Overpass,16,4
159,EC Kyiv,BLUEJAYS,Dust2,11,16
160,EC Kyiv,BLUEJAYS,Mirage,16,3
161,EC Kyiv,BLUEJAYS,Inferno,16,6
162,Bad News Eagles,SINNERS,Vertigo,16,13
163,Bad News Eagles,SINNERS,Mirage,16,14
164,BIG EQUIPA,NAVI Javelins,Nuke,17,19
165,BIG EQUIPA,NAVI Javelins,Inferno,16,19
166,MIBR,Rare Atom,Inferno,7,16
167,MIBR,Rare Atom,Overpass,29,31
168,ex-MAD Lions,HEET,Dust2,14,16
169,ex-MAD Lions,HEET,Nuke,16,7
170,ex-MAD Lions,HEET,Ancient,2,16
171,Sangal,B8,Ancient,16,9
172,Sangal,B8,Vertigo,13,16
173,Sangal,B8,Dust2,16,12
174,MIBR fe,GODSENT fe,Dust2,16,2
175,MIBR fe,GODSENT fe,Nuke,13,16
176,MIBR fe,GODSENT fe,Overpass,16,10
177,00NATION,FURIA,Ancient,16,11
178,00NATION,FURIA,Vertigo,16,8
179,The Union,Stars Horizon,Ancient,16,7
180,The Union,Stars Horizon,Dust2,14,16
181,The Union,Stars Horizon,Vertigo,15,19
182,Rare Atom,HUMMER,Mirage,4,16
183,Rare Atom,HUMMER,Nuke,16,9
184,Rare Atom,HUMMER,Inferno,16,7
185,Mindfreak,NAVI Javelins,Inferno,8,16
186,Mindfreak,NAVI Javelins,Vertigo,8,16
187,BIG Academy,Cryptova,Overpass,16,6
188,BIG Academy,Cryptova,Dust2,16,7
189,Iron Branch,B8,Nuke,7,16
190,Iron Branch,B8,Inferno,4,16
191,ARCTIC,B4,Dust2,16,12
192,ARCTIC,B4,Ancient,16,13
193,AGO,PACT,Ancient,12,16
194,AGO,PACT,Inferno,16,9
195,AGO,PACT,Vertigo,16,14
196,MASONIC,Sangal,Inferno,17,19
197,MASONIC,Sangal,Overpass,19,15
198,MASONIC,Sangal,Dust2,3,16
199,Complexity,SINNERS,Vertigo,16,13
200,Complexity,SINNERS,Inferno,10,16
201,Complexity,SINNERS,Overpass,12,16
202,Outsiders,Sprout,Vertigo,16,8
203,FURIA fe,CLG Red,Mirage,16,8
204,Nigma Galaxy,BIG EQUIPA,Overpass,16,6
205,MIBR,Movistar Riders,Nuke,3,16
206,UNGENTIUM,FLET,Ancient,16,9
207,UNGENTIUM,FLET,Mirage,16,7
208,BLUEJAYS,Tricked,Mirage,16,7
209,BLUEJAYS,Tricked,Overpass,8,16
210,BLUEJAYS,Tricked,Vertigo,16,10
211,FURIA,Sprout,Inferno,10,16
212,Eternal Fire,ex-MAD Lions,Mirage,5,16
213,Eternal Fire,ex-MAD Lions,Overpass,16,14
214,Eternal Fire,ex-MAD Lions,Nuke,8,16
215,GODSENT fe,CLG Red,Mirage,11,16
216,00NATION,Outsiders,Inferno,11,16
217,FURIA fe,MIBR fe,Mirage,16,11
218,Into the Breach,EC Kyiv,Vertigo,8,16
219,Into the Breach,EC Kyiv,Overpass,16,10
220,Into the Breach,EC Kyiv,Inferno,16,19
221,NAVI Javelins,BIG EQUIPA,Dust2,13,16
222,HUMMER,Movistar Riders,Nuke,0,16
223,MIBR,Rare Atom,Overpass,16,12
224,Nigma Galaxy,Mindfreak,Inferno,16,6
225,Luxe,Detonate,Mirage,16,5
226,Luxe,Detonate,Overpass,14,16
227,Luxe,Detonate,Vertigo,16,10
228,Victorum,Northern Forces,Nuke,5,16
229,Victorum,Northern Forces,Mirage,7,16
230,BIG,FaZe,Dust2,16,13
231,BIG,FaZe,Nuke,14,16
232,BIG,FaZe,Mirage,19,17
233,HEET,MASONIC,Overpass,11,16
234,HEET,MASONIC,Ancient,16,12
235,HEET,MASONIC,Nuke,22,20
236,forZe,ECLOT,Inferno,14,16
237,forZe,ECLOT,Dust2,16,9
238,forZe,ECLOT,Mirage,16,6
239,EC Kyiv,BLUEJAYS,Mirage,12,16
240,EC Kyiv,BLUEJAYS,Inferno,8,16
241,Apeks,SKADE,Mirage,16,14
242,Apeks,SKADE,Overpass,16,12
243,Bad News Eagles,Finest,Vertigo,13,16
244,Bad News Eagles,Finest,Mirage,16,11
245,Bad News Eagles,Finest,Inferno,16,5
246,OneTap,KTRL,Nuke,16,2
247,OneTap,KTRL,Vertigo,16,12
248,fnatic,ex-MAD Lions,Mirage,16,19
249,fnatic,ex-MAD Lions,Nuke,16,10
250,fnatic,ex-MAD Lions,Ancient,8,16
251,FaZe,Astralis,Overpass,13,16
252,FaZe,Astralis,Mirage,16,11
253,FaZe,Astralis,Dust2,16,7
254,Nexus,KTRL,Inferno,14,16
255,Nexus,KTRL,Ancient,16,13
256,Nexus,KTRL,Nuke,16,19
257,Nemiga,SKADE,Inferno,6,16
258,Nemiga,SKADE,Overpass,13,16
259,Finest,Enterprise,Inferno,16,11
260,Finest,Enterprise,Dust2,16,13
261,Bad News Eagles,ECSTATIC,Vertigo,16,10
262,Bad News Eagles,ECSTATIC,Dust2,16,13
263,BIG,Cloud9,Dust2,16,9
264,BIG,Cloud9,Inferno,16,12
265,UNGENTIUM,EC Kyiv,Vertigo,17,19
